short_name,age,nationality_name,overall,potential,club_name,value_eur,wage_eur,player_positions
R. Alfani,25,Argentina,66,67,Carlos A. Mannucci,900000.0,500.0,CB
W. Mazzantti,24,Argentina,66,69,CD Huachipato,1200000.0,2000.0,RW
A. Jung,23,France,66,73,AS Nancy Lorraine,1700000.0,4000.0,ST
M. Mehlem,26,Germany,66,68,SC Paderborn 07,950000.0,5000.0,CDM
Arribas,22,Spain,66,76,AD Alcorcón,1900000.0,3000.0,LM
Álex Martín,23,Spain,66,75,RC Celta de Vigo,1800000.0,5000.0,CB
B. Cuesta,32,Argentina,66,66,FBC Melgar,700000.0,500.0,ST
Y. Maziz,23,France,66,71,Seraing,1300000.0,5000.0,CAM
R. Schofield,21,England,66,75,Huddersfield Town,1700000.0,2000.0,GK
S. Kurt,26,Germany,66,68,Adana Demirspor,1100000.0,6000.0,CM
N. Tella,21,England,66,78,Southampton,2100000.0,10000.0,LM
S. Twine,21,England,66,75,Milton Keynes Dons,1900000.0,3000.0,CM
João Virgínia,21,Portugal,66,78,Sporting CP,1800000.0,9000.0,GK
M. Sylla,21,France,66,76,FC Utrecht,1900000.0,4000.0,ST
L. Ritzka,23,Germany,66,73,FC St. Pauli,1600000.0,5000.0,LB
J. Rankin-Costello,21,England,66,76,Blackburn Rovers,1800000.0,8000.0,RB
T. Boss,28,Germany,66,69,SV Wehen Wiesbaden,800000.0,2000.0,GK
S. Tigges,22,Germany,66,73,Borussia Dortmund,1800000.0,13000.0,ST
D. Hägele,32,Germany,66,66,FC Würzburger Kickers,575000.0,3000.0,CDM
A. Sicker,24,Germany,66,71,SV Sandhausen,1200000.0,2000.0,LB
J. Lorch,25,Germany,66,68,Viktoria Köln,975000.0,2000.0,CDM
M. Nadé,22,France,66,75,AS Saint-Étienne,1800000.0,7000.0,CB
T. Baumgart,23,Germany,66,72,FC Erzgebirge Aue,1400000.0,3000.0,RM
N. Ortiz,26,Argentina,66,69,Universidad Técnica de Cajamarca,1000000.0,500.0,CB
Conrado,24,Brazil,66,69,Lechia Gdańsk,1100000.0,2000.0,LB
R. Scheu,26,Germany,66,66,1. FC Saarbrücken,925000.0,2000.0,RM
R. Harper,21,England,66,75,Ipswich Town,1900000.0,3000.0,CM
L. Daschner,22,Germany,66,73,FC St. Pauli,1700000.0,5000.0,CAM
B. Wiles,22,England,66,75,Rotherham United,1900000.0,3000.0,CM
S. Schimmer,27,Germany,66,67,1. FC Heidenheim 1846,1000000.0,8000.0,ST
M. Seegert,27,Germany,66,69,SV Waldhof Mannheim 07,975000.0,1000.0,CB
S. Quiroga,27,Argentina,66,67,Club Atlético Sarmiento,975000.0,4000.0,CAM
R. Herrmann,27,Germany,66,66,FC Würzburger Kickers,900000.0,3000.0,LM
B. Manu,24,Germany,66,72,SV Darmstadt 98,1400000.0,4000.0,LM
B. Henning,26,Germany,66,68,Eintracht Braunschweig,1100000.0,2000.0,CM
J. Löhmannsröben,30,Germany,66,66,Hallescher FC,725000.0,1000.0,CDM
W. Kanga,23,France,66,73,BSC Young Boys,1700000.0,5000.0,ST
A. Barylla,24,Germany,66,70,FC Erzgebirge Aue,1100000.0,2000.0,RB
S. Puttkammer,32,Germany,66,66,SV Meppen,550000.0,850.0,CB
N. Casale,23,Italy,66,76,Hellas Verona,1800000.0,6000.0,CB
S. Sessegnon,21,England,66,80,Fulham,2000000.0,10000.0,RB
S. Karamoko,28,France,66,66,AS Nancy Lorraine,775000.0,2000.0,RB
F. Downes,22,England,66,74,Swansea City,1800000.0,7000.0,CDM
R. Kerrouche,27,France,66,67,USL Dunkerque,975000.0,2000.0,CM
M. Tchokounté,32,France,66,66,USL Dunkerque,700000.0,2000.0,ST
S. Niakaté,21,France,66,75,FC Metz,1800000.0,2000.0,CB
L. Guzmán,21,Argentina,66,75,Club Atlético Aldosivi,1900000.0,3000.0,RM
M. Ortíz,26,Argentina,66,67,Club Atlético Talleres,1000000.0,5000.0,RW
M. O'Riley,20,England,66,74,Milton Keynes Dons,1900000.0,3000.0,CM
Leonardo Rocha,23,Portugal,66,73,KAS Eupen,1700000.0,4000.0,ST
José Lara,21,Spain,66,77,Real Betis Balompié,1900000.0,5000.0,RM
Genaro,23,Spain,66,76,Málaga CF,1800000.0,2000.0,CDM
Dani Escriche,23,Spain,66,74,SD Huesca,1900000.0,4000.0,ST
J. Carranza,21,Argentina,66,75,Inter Miami CF,1900000.0,2000.0,ST
Kike Hermoso,21,Spain,66,77,Real Betis Balompié,1800000.0,4000.0,CB
Y. Clementia,23,France,66,71,Stade Malherbe Caen,1000000.0,1000.0,GK
M. Jenz,22,Germany,66,74,FC Lorient,1800000.0,5000.0,CB
K. Guessoum,22,France,66,74,Nîmes Olympique,1800000.0,2000.0,CB
Y. Armougom,23,France,66,71,Stade Malherbe Caen,1200000.0,2000.0,LB
N. Gallardo,23,Argentina,66,72,Club Atlético Colón,1300000.0,3000.0,LB
Brugui,24,Spain,66,72,CD Mirandés,1400000.0,7000.0,LM
F. Grahl,29,Argentina,66,66,Club Atlético Aldosivi,825000.0,4000.0,CM
Y. Bisseck,20,Germany,66,81,Aarhus GF,1900000.0,5000.0,CB
R. Hoffmann,22,Germany,66,76,Sunderland,1700000.0,10000.0,GK
M. Costly,25,Germany,66,69,SV Waldhof Mannheim 07,1100000.0,1000.0,RM
L. Dietz,24,Germany,66,72,FC Würzburger Kickers,1200000.0,2000.0,CB
S. Cibois,23,France,66,72,Stade Brestois 29,1100000.0,3000.0,GK
A. Antilef,22,Argentina,66,75,Arsenal de Sarandí,1900000.0,3000.0,CM
N. Thaller,22,Argentina,66,74,Club Atlético Lanús,1800000.0,4000.0,CB
C. Sickinger,23,Germany,66,73,SV Sandhausen,1600000.0,2000.0,CDM
F. Valot,28,France,66,66,FC Cincinnati,850000.0,3000.0,RM
M. Adams,24,England,66,71,Atlanta United,1200000.0,2000.0,CDM
Álvaro García,21,Spain,66,79,RCD Espanyol de Barcelona,2000000.0,4000.0,CB
Pablo Martínez,23,Spain,66,75,Levante Unión Deportiva,1900000.0,7000.0,LM
T. Richards,20,England,66,78,Brighton & Hove Albion,2100000.0,11000.0,CAM
J. Meier,21,Germany,66,76,F.C. Hansa Rostock,1800000.0,5000.0,LB
V. Burgoa,20,Argentina,66,75,Godoy Cruz,1900000.0,2000.0,CAM
Andújar,29,Spain,66,66,FC Cartagena,725000.0,2000.0,CB
D. Sanderson,21,England,66,79,Birmingham City,2000000.0,13000.0,CB
E. Bekiroglu,25,Germany,66,69,Aytemiz Alanyaspor,1100000.0,4000.0,CM
P. Schmidt,27,Germany,66,66,FC Ingolstadt 04,925000.0,7000.0,ST
Gabriel Brazão,20,Brazil,66,76,Inter,1600000.0,10000.0,GK
S. Beusnard,29,France,66,66,Pau FC,850000.0,2000.0,RM
G. Compagnucci,29,Argentina,66,66,Newell's Old Boys,850000.0,5000.0,RM
Juan Ibiza,25,Spain,66,71,UD Ibiza,1100000.0,2000.0,CB
Gonçalo Cardoso,20,Portugal,66,77,FC Basel 1893,1800000.0,11000.0,CB
M. Insaurralde,22,Argentina,66,73,Gimnasia y Esgrima La Plata,1700000.0,4000.0,CM
G. Ferrari,24,Argentina,66,73,Godoy Cruz,1600000.0,3000.0,CB
F. Colidio,21,Argentina,66,75,Inter,1900000.0,18000.0,ST
Miguel Morro,20,Spain,66,80,CF Fuenlabrada,1800000.0,3000.0,GK
Ezequiel,23,Brazil,66,72,Sanfrecce Hiroshima,1400000.0,3000.0,CF
D. Chambost,23,France,66,72,ESTAC Troyes,1400000.0,5000.0,CAM
J. Gelhardt,19,England,66,82,Leeds United,2200000.0,13000.0,ST
André Luís,27,Brazil,66,67,Moreirense FC,1000000.0,5000.0,ST
A. Díaz,21,Argentina,66,76,San Lorenzo de Almagro,1900000.0,4000.0,ST
C. Mola,20,England,66,77,VfB Stuttgart,1800000.0,5000.0,LB
P. Will,22,Germany,66,75,SG Dynamo Dresden,1800000.0,4000.0,CDM
L. Dajaku,20,Germany,66,78,Sunderland,2100000.0,7000.0,RW
G. Haag,21,France,66,77,AS Nancy Lorraine,1800000.0,2000.0,CDM
F. Quinteros,22,Argentina,66,75,Club Atlético Banfield,1800000.0,4000.0,LB
W. Isidor,20,France,66,77,AS Monaco,1900000.0,11000.0,ST
Andre Shinyashiki,24,Brazil,66,72,Colorado Rapids,1400000.0,2000.0,LM
G. Avila,19,Argentina,66,80,Rosario Central,1900000.0,2000.0,CB
L. Leroy,21,France,66,75,Montpellier Hérault SC,1900000.0,6000.0,CM
J. Branthwaite,19,England,66,84,Everton,2100000.0,9000.0,CB
J. Carls,24,Germany,66,73,SC Paderborn 07,1600000.0,4000.0,LB
D. Kother,21,Germany,66,75,Karlsruher SC,1900000.0,4000.0,LW
L. Mbe Soh,20,France,66,76,Nottingham Forest,1800000.0,9000.0,CB
J. Chougrani,30,France,66,66,Rodez Aveyron Football,700000.0,2000.0,CB
Sergio Camello,20,Spain,66,81,CD Mirandés,2100000.0,11000.0,ST
Zé Uilton,28,Brazil,66,66,FC Paços de Ferreira,850000.0,4000.0,RW
M. Ekpiteta,25,England,66,70,Blackpool,1100000.0,4000.0,CB
S. Sonnenberg,22,Germany,66,73,Heracles Almelo,1600000.0,2000.0,CB
J. Marx,26,Germany,66,68,FC Ingolstadt 04,975000.0,6000.0,RB
D. Köhn,22,Germany,66,75,Willem II,1800000.0,2000.0,LB
Larrazabal,23,Spain,66,74,SD Amorebieta,1900000.0,3000.0,RM
J. Bay,28,Argentina,66,66,Club Atlético Central Córdoba,775000.0,4000.0,LB
W. Coulibaly,22,France,66,74,Parma,1800000.0,7000.0,RB
K. Klefisch,21,Germany,66,71,Viktoria Köln,1200000.0,1000.0,CDM
Tiago Dantas,20,Portugal,66,81,CD Tondela,2100000.0,3000.0,CM
U. Akyol,23,Germany,66,73,Antalyaspor,1700000.0,5000.0,CM
Berto,23,Spain,66,75,Real Sporting de Gijón,1900000.0,3000.0,LM
K. Koindredi,19,France,66,81,Valencia CF,2000000.0,5000.0,CM
Saúl Crespo,24,Spain,66,73,SD Ponferradina,1600000.0,2000.0,CDM
B. Rollheiser,21,Argentina,66,76,River Plate,1900000.0,4000.0,RW
Diogo Sousa,22,Portugal,66,73,Antalyaspor,1500000.0,3000.0,GK
Riquelme,21,Spain,66,80,CD Mirandés,2100000.0,9000.0,RM
Jota Gonçalves,21,Portugal,66,76,CD Tondela,1800000.0,2000.0,CB
A. Doughty,21,England,66,76,Stoke City,1800000.0,6000.0,LWB
A. Rouault,20,France,66,78,Toulouse Football Club,1900000.0,2000.0,CB
Félix Correia,20,Portugal,66,82,Parma,2200000.0,7000.0,RW
Valera,19,Spain,66,83,Real Sociedad B,2200000.0,7000.0,RM
B. Martínez,21,Argentina,66,73,Club Atlético Independiente,1700000.0,3000.0,RM
R. Villagra,20,Argentina,66,80,Club Atlético Talleres,1900000.0,3000.0,CDM
T. Escalante,21,Argentina,66,74,Defensa y Justicia,1900000.0,3000.0,CM
Lobete,20,Spain,66,80,Real Sociedad B,2100000.0,2000.0,ST
K. Fischer,20,Germany,66,73,1. FC Nürnberg,1600000.0,3000.0,RB
M. Cho,17,France,66,82,Angers SCO,2100000.0,1000.0,ST
T. Ortega,20,Argentina,66,76,Club Atlético Independiente,1800000.0,3000.0,LB
D. Thiam,31,France,66,66,USL Dunkerque,625000.0,2000.0,RB
I. Boura,20,France,66,77,Racing Club de Lens,1800000.0,5000.0,LWB
E. Martel,19,Germany,66,84,FK Austria Wien,2100000.0,8000.0,CDM
Fabiano Souza,21,Brazil,66,79,SC Braga,2000000.0,3000.0,RB
K. Caliskaner,21,Germany,66,73,SSV Jahn Regensburg,1800000.0,3000.0,ST
Iago López,22,Spain,66,76,CD Mirandés,1800000.0,2000.0,RB
Luís Mata,23,Portugal,66,71,Pogoń Szczecin,1200000.0,2000.0,LB
M. Rente,24,Germany,66,72,Heracles Almelo,1200000.0,2000.0,CB
S. Meza,21,Argentina,66,76,Club Atlético Huracán,1700000.0,2000.0,GK
Jean Patric,24,Brazil,66,71,Santa Clara,1300000.0,2000.0,LW
N. Castro,30,Argentina,66,66,Arsenal de Sarandí,825000.0,4000.0,LW
Martín Calderón,22,Spain,66,74,Cádiz CF,1900000.0,7000.0,CM
A. Cabrera,28,Argentina,66,67,Club Atlético Banfield,825000.0,5000.0,CDM
Quintana,19,Spain,66,79,Málaga CF,1900000.0,1000.0,CDM
Larrubia,19,Spain,66,80,Málaga CF,2000000.0,2000.0,CAM
M. Braida,24,Argentina,66,72,Club Atlético Aldosivi,1400000.0,3000.0,LM
Meseguer,22,Spain,66,75,CD Mirandés,1900000.0,2000.0,CM
Luiz Júnior,20,Brazil,66,78,Futebol Clube de Famalicão,1800000.0,1000.0,GK
Yan Couto,19,Brazil,66,81,SC Braga,1900000.0,2000.0,RB
M. Gusto,18,France,66,80,Olympique Lyonnais,1900000.0,4000.0,RB
M. Portanova,21,Italy,66,79,Genoa,2100000.0,4000.0,CM
Terrats,20,Spain,66,80,Girona FC,1900000.0,2000.0,CDM
B. Aguirre,20,Argentina,66,78,Club Atlético Lanús,2000000.0,3000.0,RB
I. Machuca,21,Argentina,66,75,Unión de Santa Fe,1900000.0,3000.0,RM
Jesús Vázquez,18,Spain,66,79,Valencia CF,1900000.0,2000.0,LB
André Amaro,18,Portugal,66,77,Vitória de Guimarães,1700000.0,850.0,CB
M. Rogers,18,England,66,84,AFC Bournemouth,2200000.0,4000.0,LW
M. García,22,Argentina,66,75,Club Atlético Sarmiento,1800000.0,3000.0,RB
Arnau Martínez,18,Spain,66,80,Girona FC,1900000.0,950.0,CB
T. Palacios,20,Argentina,66,80,Platense,2100000.0,4000.0,RW
A. Costa,21,Argentina,66,73,Club Atlético Independiente,1600000.0,3000.0,CB
J. López,20,Argentina,66,80,Club Atlético Lanús,2100000.0,4000.0,ST
J. Malatini,20,Argentina,66,73,Club Atlético Talleres,1600000.0,3000.0,RB
I. Maggi,22,Argentina,66,74,Racing Club,1900000.0,5000.0,ST
Thiago Andrade,20,Brazil,66,76,New York City FC,1900000.0,2000.0,LW
Miguel,19,Spain,66,81,Real Madrid CF,1900000.0,15000.0,LB
Kayky,18,Brazil,66,87,Manchester City,2700000.0,12000.0,RW
Carlos Domínguez,20,Spain,66,76,RC Celta de Vigo,1800000.0,4000.0,CB
Rubén,26,Spain,66,69,UD Ibiza,1000000.0,2000.0,CB
Chiquinho,21,Portugal,66,76,Estoril Praia,1900000.0,2000.0,LW
Adílio Santos,27,Brazil,66,66,FC Arouca,900000.0,3000.0,RW
Iker Seguín,31,Spain,66,66,SD Amorebieta,700000.0,3000.0,LM
Olasagasti,20,Spain,66,76,Real Sociedad B,1800000.0,2000.0,CDM
J. Blasco,22,France,66,72,Real Sociedad B,1300000.0,2000.0,RB
Rafael Santos,23,Brazil,66,76,APOEL Nicosia FC,1800000.0,500.0,CB
F. Zabala,22,Argentina,66,76,APOEL Nicosia FC,1800000.0,500.0,LB
Nuno Moreira,22,Portugal,66,74,FC Vizela,1900000.0,2000.0,LW
Tomás Silva,21,Portugal,66,75,FC Vizela,1900000.0,1000.0,CM
Ros,25,Spain,66,71,CD Lugo,1100000.0,2000.0,CB
Luiz Felipe,24,Brazil,66,70,Belenenses SAD,975000.0,1000.0,GK
Rodrigo Conceição,21,Portugal,66,74,Moreirense FC,1800000.0,2000.0,RB
Álex Balde,17,Spain,66,82,FC Barcelona,2000000.0,1000.0,LB
Beñat Prados,20,Spain,66,77,Athletic Club de Bilbao,1900000.0,6000.0,CM
Léo Chú,21,Brazil,66,78,Seattle Sounders FC,2100000.0,2000.0,LW
Gavi,16,Spain,66,85,FC Barcelona,2100000.0,4000.0,CM
P. Ndiaye,23,France,66,72,SC Rheindorf Altach,1200000.0,3000.0,CB
M. Abline,18,France,66,83,Stade Rennais FC,2200000.0,5000.0,ST
J. Bothroyd,39,England,65,65,Hokkaido Consadole Sapporo,240000.0,1000.0,ST
L. Grant,38,England,65,65,Manchester United,80000.0,11000.0,GK
D. Martin,35,England,65,65,West Ham United,80000.0,7000.0,GK
D. Lewington,37,England,65,65,Milton Keynes Dons,130000.0,2000.0,CB
A. Baptiste,35,England,65,65,Bolton Wanderers,190000.0,2000.0,CB
Saizar,38,Spain,65,65,SD Amorebieta,80000.0,1000.0,GK
A. Akinfenwa,39,England,65,65,Wycombe Wanderers,240000.0,2000.0,ST
R. Wood,35,England,65,65,Rotherham United,190000.0,2000.0,CB
B. Watson,35,England,65,65,Charlton Athletic,200000.0,2000.0,CDM
S. Whalley,33,England,65,65,Shrewsbury Town,450000.0,3000.0,ST
C. Daniels,34,England,65,65,Colchester United,250000.0,4000.0,LWB
E. Gutiérrez,35,Argentina,65,65,Club Universitario de Deportes,300000.0,500.0,ST
M. Bostwick,33,England,65,65,Burton Albion,350000.0,2000.0,CB
L. Akins,32,England,65,65,Burton Albion,575000.0,2000.0,LM
Canella,33,Spain,65,65,CD Lugo,375000.0,2000.0,LB
D. Worrall,31,England,65,65,Port Vale,525000.0,3000.0,RWB
A. Ríos,31,Argentina,65,65,San Jose Earthquakes,600000.0,2000.0,ST
J. Spearing,32,England,65,65,Tranmere Rovers,475000.0,3000.0,CDM
E. Domaschke,35,Germany,65,65,SV Meppen,80000.0,500.0,GK
G. Madine,30,England,65,65,Blackpool,700000.0,4000.0,ST
A. Clayton,32,England,65,65,Birmingham City,475000.0,6000.0,CDM
L. Sercombe,31,England,65,65,Cheltenham Town,575000.0,3000.0,CM
Juanan,34,Spain,65,65,Hyderabad FC,230000.0,500.0,CB
J. Mills,31,England,65,65,Northampton Town,525000.0,5000.0,LB
J. Brayford,33,England,65,65,Burton Albion,375000.0,2000.0,RB
Mossa,32,Spain,65,65,Real Oviedo,500000.0,3000.0,LB
C. McManaman,30,England,65,65,Tranmere Rovers,700000.0,3000.0,RM
Paulinho,35,Brazil,65,65,Hammarby IF,300000.0,1000.0,ST
A. Cook,30,England,65,65,Bradford City,700000.0,6000.0,ST
O. Lee,29,England,65,65,Gillingham,700000.0,3000.0,CAM
Romário,35,Brazil,65,65,Kalmar FF,275000.0,950.0,CM
L. Brown,30,England,65,65,Portsmouth,625000.0,3000.0,LB
Adrián Sardinero,30,Spain,65,65,Perth Glory,700000.0,2000.0,ST
D. Davis,30,England,65,65,Shrewsbury Town,675000.0,3000.0,CM
M. Titsch Rivero,31,Germany,65,65,Hallescher FC,575000.0,1000.0,CM
C. McAleny,28,England,65,65,Salford City,725000.0,6000.0,LW
T. Eaves,29,England,65,65,Hull City,725000.0,5000.0,ST
G. Williams,28,England,65,65,Cambridge United,650000.0,2000.0,RB
Aguilera,35,Spain,65,65,AD Alcorcón,200000.0,2000.0,CDM
Fran Grima,34,Spain,65,65,UD Ibiza,250000.0,2000.0,RB
R. Padovani,31,France,65,65,US Quevilly Rouen Métropole,500000.0,2000.0,CB
A. Sarcevic,29,England,65,65,Bolton Wanderers,700000.0,3000.0,CAM
T. Leugers,30,Germany,65,65,SV Meppen,600000.0,750.0,CDM
J. Rivierez,32,France,65,65,Stade Malherbe Caen,475000.0,2000.0,CB
Marc Martínez,31,Spain,65,65,FC Cartagena,375000.0,2000.0,GK
C. Thomas,27,England,65,66,Cheltenham Town,725000.0,3000.0,CDM
J. Morris,29,England,65,65,Salford City,700000.0,6000.0,LM
W. Keane,28,England,65,65,Wigan Athletic,725000.0,2000.0,CAM
E. Ebanks-Landell,28,England,65,66,Shrewsbury Town,675000.0,3000.0,CB
Javi Hernández,32,Spain,65,65,Odisha FC,550000.0,500.0,CM
J. Scowen,28,England,65,65,Wycombe Wanderers,725000.0,3000.0,CM
A. Cairns,28,England,65,67,Fleetwood Town,600000.0,2000.0,GK
O. Turton,28,England,65,65,Huddersfield Town,650000.0,3000.0,RWB
R. Matthews,27,England,65,67,Crystal Palace,650000.0,9000.0,GK
R. Jackson,30,England,65,65,Gillingham,625000.0,3000.0,RB
B. Boulenger,31,France,65,65,Seraing,500000.0,4000.0,CB
A. Jackson,27,England,65,65,Lincoln City,650000.0,3000.0,CB
David Simón,31,Spain,65,65,FC Cartagena,525000.0,2000.0,RB
N. Dams,31,Germany,65,65,Borussia Dortmund II,500000.0,1000.0,CB
D. Oshilaja,28,England,65,66,Burton Albion,675000.0,2000.0,CB
T. Weilandt,29,Germany,65,65,VfL Bochum 1848,700000.0,7000.0,LM
M. Mandron,26,France,65,67,Crewe Alexandra,900000.0,3000.0,ST
B. Wilson,28,England,65,67,Coventry City,600000.0,5000.0,GK
K. Hemmings,29,England,65,65,Burton Albion,725000.0,3000.0,ST
S. Maier,27,Germany,65,65,Türkgücü München,750000.0,2000.0,CAM
C. Raglan,28,England,65,66,Cheltenham Town,675000.0,3000.0,CB
M. Kuhn,29,Germany,65,65,Türkgücü München,625000.0,2000.0,RB
O. Bulut,27,Germany,65,66,Yukatel Kayserispor,750000.0,4000.0,RB
Jefté,27,Spain,65,65,FC Farul Constanța,775000.0,4000.0,ST
T. Hopper,27,England,65,65,Lincoln City,775000.0,4000.0,ST
J. Willis,26,England,65,67,Sunderland,775000.0,3000.0,CB
C. Stockton,27,England,65,66,Morecambe,825000.0,3000.0,ST
A. Said,28,Italy,65,65,Campionii FC Arges,725000.0,3000.0,ST
B. Aloé,27,France,65,68,FC Arouca,800000.0,2000.0,CB
M. Blair,32,England,65,65,Cheltenham Town,500000.0,3000.0,RWB
T. Anderson,27,England,65,66,Doncaster Rovers,725000.0,3000.0,CB
Maurides,27,Brazil,65,65,Radomiak Radom,775000.0,2000.0,ST
J. Wurtz,29,Germany,65,65,SV Wehen Wiesbaden,700000.0,3000.0,CAM
A. Belmonte,25,France,65,69,Grenoble Foot 38,900000.0,2000.0,CDM
D. Del Fabro,26,Italy,65,68,Seraing,825000.0,4000.0,CB
A. Berzel,29,Germany,65,66,Viktoria Köln,650000.0,2000.0,CB
M. Thiel,28,Germany,65,65,SV Wehen Wiesbaden,725000.0,3000.0,LM
R. Vollath,31,Germany,65,65,Türkgücü München,375000.0,1000.0,GK
E. Ba,28,France,65,65,En Avant de Guingamp,625000.0,2000.0,CDM
R. Klingenburg,27,Germany,65,66,1. FC Kaiserslautern,825000.0,2000.0,CM
H. Adelakun,25,England,65,68,Lincoln City,950000.0,4000.0,LM
B. Dabanlı,31,Germany,65,65,SC Rheindorf Altach,500000.0,3000.0,CB
L. Ojeda,31,Argentina,65,65,Platense,375000.0,3000.0,GK
L. Rougeaux,27,France,65,66,KV Kortrijk,725000.0,4000.0,CB
Miguel Oliveira,27,Portugal,65,68,Moreirense FC,700000.0,3000.0,GK
S. Goss,25,England,65,70,Motherwell,1000000.0,2000.0,CAM
Rúben Oliveira,26,Portugal,65,68,Santa Clara,925000.0,2000.0,CM
R. Haynes,25,England,65,68,Newport County,875000.0,3000.0,LWB
S. Ojeda,29,Argentina,65,66,Patronato,650000.0,4000.0,CB
F. Montero,32,Argentina,65,65,Club Atlético Sarmiento,550000.0,3000.0,CM
Ó. Benítez,30,Argentina,65,65,Patronato,575000.0,4000.0,CB
K. Jackson,27,England,65,66,Ipswich Town,825000.0,4000.0,ST
K. Azamoum,31,France,65,65,ESTAC Troyes,500000.0,5000.0,CDM
M. Stefaniak,26,Germany,65,66,VfL Wolfsburg,850000.0,13000.0,CAM
S. Hertner,30,Germany,65,65,Türkgücü München,625000.0,2000.0,LB
J. Payne,26,England,65,66,Swindon Town,850000.0,5000.0,CAM
F. Menig,27,Germany,65,65,Hallescher FC,700000.0,1000.0,RB
J. Sanguinetti,30,Argentina,65,65,Club Always Ready,700000.0,500.0,CAM
B. Halliday,25,England,65,67,Fleetwood Town,825000.0,3000.0,RB
F. Cardozo,26,Argentina,65,68,Platense,850000.0,3000.0,LB
M. Jay,25,England,65,69,Exeter City,1000000.0,4000.0,CAM
Rafael Ratão,25,Brazil,65,68,Toulouse Football Club,950000.0,2000.0,LW
T. Conlon,25,England,65,69,Port Vale,1000000.0,4000.0,CM
F. Okenabirhie,25,England,65,70,Doncaster Rovers,1100000.0,4000.0,ST
F. Leys,27,Argentina,65,66,Patronato,725000.0,4000.0,CDM
J. Rossiter,24,England,65,71,Fleetwood Town,1000000.0,2000.0,CDM
W. Nightingale,25,England,65,69,AFC Wimbledon,900000.0,2000.0,CB
Carrillo,27,Spain,65,66,CD Lugo,825000.0,3000.0,ST
Sergio,29,Spain,65,66,CD Leganés,650000.0,3000.0,CB
C. Bishop,24,England,65,70,Accrington Stanley,1100000.0,2000.0,ST
J. Correa,27,France,65,66,Grenoble Foot 38,825000.0,2000.0,ST
L. Suárez,26,Argentina,65,68,Arsenal de Sarandí,850000.0,3000.0,LB
G. Ward,26,England,65,67,Blackpool,875000.0,4000.0,CM
D. Rodríguez,25,Argentina,65,70,Newell's Old Boys,1000000.0,4000.0,CM
E. Salles,27,France,65,69,Grenoble Foot 38,750000.0,1000.0,GK
G. Cooper,24,England,65,70,Plymouth Argyle,1000000.0,3000.0,LWB
B. Close,24,England,65,71,Doncaster Rovers,1000000.0,3000.0,CDM
W. Norris,27,England,65,67,Burnley,650000.0,6000.0,GK
T. Rieder,27,Germany,65,66,Türkgücü München,725000.0,2000.0,CDM
M. Ritter,26,Germany,65,67,1. FC Kaiserslautern,875000.0,2000.0,CAM
T. Königsmann,24,Germany,65,71,SV Waldhof Mannheim 07,925000.0,800.0,GK
S. Jacob,28,Germany,65,65,1. FC Saarbrücken,725000.0,2000.0,ST
N. Mbemba,26,France,65,68,Le Havre AC,925000.0,3000.0,CM
Ricardinho,27,Portugal,65,66,FC Voluntari,750000.0,2000.0,RB
Leândro,37,Brazil,65,65,Górnik Łęczna,160000.0,900.0,LB
A. Cannon,25,England,65,70,Hull City,1000000.0,4000.0,CM
C. Psyché,32,France,65,65,Tromsø IL,475000.0,1000.0,CB
N. Leyes,31,Argentina,65,65,Gimnasia y Esgrima La Plata,500000.0,4000.0,CDM
S. Kashket,25,England,65,68,Crewe Alexandra,950000.0,3000.0,ST
L. Passerini,26,Argentina,65,66,Cruz Azul,850000.0,15000.0,ST
Ronaldo Mendes,28,Brazil,65,65,Çaykur Rizespor,725000.0,4000.0,CAM
Arturo Molina,25,Spain,65,68,CF Fuenlabrada,950000.0,2000.0,CAM
H. Anderson,24,England,65,69,Bristol Rovers,1000000.0,4000.0,RW
A. Bass,23,England,65,73,Portsmouth,1400000.0,2000.0,GK
J. Stevens,23,England,65,71,Oxford United,925000.0,2000.0,GK
C. Trueman,25,England,65,70,Birmingham City,825000.0,4000.0,GK
L. Contin,25,Argentina,65,70,Gimnasia y Esgrima La Plata,1100000.0,5000.0,ST
I. Cissé,25,France,65,70,Stade Malherbe Caen,950000.0,2000.0,CB
K. Vincent-Young,25,England,65,70,Ipswich Town,975000.0,3000.0,RB
N. Kreuzer,28,Germany,65,65,Hallescher FC,650000.0,1000.0,RB
Bruno Ramires,27,Brazil,65,66,Bengaluru FC,825000.0,800.0,CM
A. Hunter,25,England,65,68,Salford City,950000.0,5000.0,LM
K. Anderson,26,England,65,66,Blackpool,850000.0,4000.0,CAM
M. Gillesphey,25,England,65,67,Plymouth Argyle,800000.0,3000.0,CB
F. Kalig,28,Germany,65,67,FC Erzgebirge Aue,725000.0,3000.0,CB
N. Delgadillo,23,Argentina,65,73,Patronato,1600000.0,4000.0,LM
Diego Alende,23,Spain,65,74,CD Lugo,1500000.0,2000.0,CB
Camus,24,Spain,65,72,Atlético de Madrid,1400000.0,9000.0,RB
J. Dacres-Cogley,25,England,65,68,Tranmere Rovers,875000.0,3000.0,RB
K. Redondo,26,Germany,65,65,1. FC Kaiserslautern,775000.0,2000.0,LM
Dani Suárez,31,Spain,65,65,Abha Club,500000.0,3000.0,CB
S. Humphrys,23,England,65,71,Wigan Athletic,1100000.0,2000.0,ST
